weight,round,result_type,winner_name,winner_team,winner_conf,winner_seed,winner_tpar_v1,winner_tpar_v3b,loser_name,loser_team,loser_conf,loser_seed,loser_tpar_v1,loser_tpar_v3b
184,R32,Dec,Dylan Fishback,Ohio State,Big Ten,12,2.8154,3.0675,Tomas Brooker,Appalachian State,SoCon,21,1.8929,1.9245
184,R32,Dec,Brian Soldano,Oklahoma,Big 12,20,2.5215,2.7720,Isaac Dean,Iowa State,Big 12,13,2.2986,2.5376
184,R32,Dec,James Conway,Franklin and Marshall,EIWA,4,3.3303,3.3435,Nick Fox,Northern Iowa,Big 12,29,1.3413,1.5137
184,R32,TF,Max McEnelly,Minnesota,Big Ten,3,4.2990,4.5790,Tyler Bienus,Bucknell,EIWA,30,0.7897,0.8282
184,R32,TB-1,Jaden Bullock,Virginia Tech,ACC,14,1.6179,1.6652,Jared McGill,Edinboro,MAC,19,2.6021,2.5142
184,R32,SV-1,Zack Ryder,Oklahoma State,Big 12,22,1.5560,1.7860,Shane Cartagena-Walsh,Rutgers,Big Ten,11,2.2006,2.3088
184,R32,MD,Eddie Neitenbach,Wyoming,Big 12,6,3.0196,3.2774,Aidan Brenot,North Dakota State,Big 12,27,1.1354,1.3104
184,R32,MD,Angelo Ferrari,Iowa,Big Ten,7,3.8292,4.0900,Chase Kranitz,Pittsburgh,ACC,26,1.0169,1.0958
184,R32,SV-1,Caleb Campos,American,EIWA,10,2.2734,2.2880,Ceasar Garza,Cal Poly,Pac-12,23,1.6183,1.5644
184,R32,Dec,Sal Perrine,Ohio,MAC,15,2.0200,2.0337,Jake Dailey,North Carolina,ACC,18,2.3830,2.4757
184,R32,TF,Aeoden Sinclair,Missouri,Big 12,2,4.4185,4.6393,Mahonri Rushton,Northern Colorado,Big 12,31,-1.0088,-0.8188
184,PIG,Dec,Caleb Uhlenhopp,Utah Valley,Big 12,32,0.4330,0.6570,Sam Goin,Indiana,Big Ten,33,1.2695,1.5200
197,Final,Dec,Josh Barr,Penn State,Big Ten,1,5.5616,5.7621,Cody Merrill,Oklahoma State,Big 12,7,3.0295,3.2395
197,3rd,Dec,Stephen Little,Little Rock,Pac-12,3,2.9562,2.9263,Joey Novak,Wyoming,Big 12,5,3.6500,3.8450
197,5th,Dec,Camden McDanel,Nebraska,Big Ten,11,2.7093,2.9741,Angelo Posada,Stanford,ACC,9,3.3162,3.4490
197,7th,Dec,Gabe Arnold,Iowa,Big Ten,27,2.3539,2.5066,Branson John,Maryland,Big Ten,16,2.4806,2.5503
197,C_SF,MD,Stephen Little,Little Rock,Pac-12,3,2.9562,2.9263,Angelo Posada,Stanford,ACC,9,3.3162,3.4490
197,C_SF,Dec,Joey Novak,Wyoming,Big 12,5,3.6500,3.8450,Camden McDanel,Nebraska,Big Ten,11,2.7093,2.9741
197,C_QF,SV-1,Angelo Posada,Stanford,ACC,9,3.3162,3.4490,Branson John,Maryland,Big Ten,16,2.4806,2.5503
197,C_QF,Dec,Camden McDanel,Nebraska,Big Ten,11,2.7093,2.9741,Gabe Arnold,Iowa,Big Ten,27,2.3539,2.5066
197,C_R4,TB-1,Branson John,Maryland,Big Ten,16,2.4806,2.5503,Colton Hawks,Arizona State,Big 12,29,-0.2759,-0.2059
197,C_R4,MD,Angelo Posada,Stanford,ACC,9,3.3162,3.4490,Luke Geog,Ohio State,Big Ten,12,2.0843,2.3400
197,C_R4,Dec,Gabe Arnold,Iowa,Big Ten,27,2.3539,2.5066,Remy Cotton,Rutgers,Big Ten,15,1.9821,2.3142
197,C_R4,Dec,Camden McDanel,Nebraska,Big Ten,11,2.7093,2.9741,Andrew Reall,Brown,CAA,18,2.9406,2.8249
197,SF,MD,Josh Barr,Penn State,Big Ten,1,5.5616,5.7621,Joey Novak,Wyoming,Big 12,5,3.6500,3.8450
197,SF,TB-2,Cody Merrill,Oklahoma State,Big 12,7,3.0295,3.2395,Stephen Little,Little Rock,Pac-12,3,2.9562,2.9263
197,C_R3,Dec,Branson John,Maryland,Big Ten,16,2.4806,2.5503,Mac Stout,Pittsburgh,ACC,10,2.6457,2.7383
197,C_R3,Dec,Luke Geog,Ohio State,Big Ten,12,2.0843,2.3400,Zayne Lehman,Ohio,MAC,19,2.3932,2.3277
197,C_R3,Dec,Gabe Arnold,Iowa,Big Ten,27,2.3539,2.5066,Gabe Sollars,Indiana,Big Ten,14,2.0608,2.2929
197,C_R3,Dec,Andrew Reall,Brown,CAA,18,2.9406,2.8249,Evan Bates,Missouri,Big 12,25,1.7741,2.0085
197,C_R2,Dec,Branson John,Maryland,Big Ten,16,2.4806,2.5503,Rocky Elam,Iowa State,Big 12,2,4.0617,4.2389
197,C_R2,Dec,Mac Stout,Pittsburgh,ACC,10,2.6457,2.7383,Brock Zurawski,Rider,MAC,24,2.7170,2.6811
197,C_R2,Dec,Luke Geog,Ohio State,Big Ten,12,2.0843,2.3400,Justin Rademacher,Oregon State,Pac-12,6,3.0896,3.0596
197,C_R2,Dec,Zayne Lehman,Ohio,MAC,19,2.3932,2.3277,Sonny Sasso,Virginia Tech,ACC,4,2.8736,3.0550
